id;name;slug;region;city;description;latitude;longitude;type;address;phone;email;website;opening_hours;wikidata_item;wikipedia_url;history;image_url;source;wikidata_qid;religion_qid;denomination_qid;is_spc;is_spc_guess;review_status;is_approved;eparchy_id;created_at;updated_at;region_id;city_id;excerpt;architecture;art;spiritual_life;visiting;sources;image;source_url;lat;lng;wikidata_id;eparchy;description_short;ktitor;godina_izgradnje;napomena_podaci;status;coord_source;coord_url;coord_status
1;Manastir Bavanište;bavaniste;Vojvodina;Kovin;"OPŠTI PODACI:
Manastir Bavanište nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kovin na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1594. godine, čiji je ktitor i zadužbinar Srpski doseljenici u Banat, koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Koreni ove svetinje sežu duboko u prošlost srpskog naroda na prostoru Banata. Bavanište manastir je važan u istoriji srpskog naroda. On se pominje u pisanjima manastira Pećke Patrijaršije kao važan duhovni centar. Osnivanje ove svetinje vezano je za tursku vladavinu i otpor srpskog naroda krajem XVI veka. Veliki talas naseljavanja desio se 1776.

ARHITEKTURA I UMETNOST:
Manastir Bavanište je jedan od retkih svetinja izgrađenih na svetom izvoru. Voda još uvijek teče ispod crkve, čineći ovaj hram posebnim. Ova činjenica ostavlja duboki utisak na sve koji posjećuju manastir. Crkva je obnovljena 1856. Zahvaljujući lokalnom narodu.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Bavanište aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";44.8271243;20.8940113;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-bavaniste/;Koreni ove svetinje sežu duboko u prošlost srpskog naroda na prostoru Banata. Bavanište manastir je važan u istoriji srpskog naroda. On se pominje u pisanjima manastira Pećke Patrijaršije kao važan duhovni centar. Osnivanje ove svetinje vezano je za tursku vladavinu i otpor srpskog naroda krajem XVI veka. Veliki talas naseljavanja desio se 1776.;images/monasteries/bavaniste.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Bavanište nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kovin na području Vojvodina.;Manastir Bavanište je jedan od retkih svetinja izgrađenih na svetom izvoru. Voda još uvijek teče ispod crkve, čineći ovaj hram posebnim. Ova činjenica ostavlja duboki utisak na sve koji posjećuju manastir. Crkva je obnovljena 1856. Zahvaljujući lokalnom narodu.;;;;;;https://manastiri.rs/eparhije/banatska/manastir-bavaniste/;44.8271243;20.8940113;;;Manastir Bavanište nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kovin na području Vojvodina.;Srpski doseljenici u Banat;1594;;odobren;;;
2;Manastir Gaj;gaj;Vojvodina;Kovin;"OPŠTI PODACI:
Manastir Gaj nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kovin na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1735. godine, čiji je ktitor i zadužbinar Episkop vršački i narod gajski, koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Istorija manastira u Gaju seže daleko u prošlost. Selo Gaj prvi put se pominje 1355. Tada je bilo deo Krašovske županije. Od tada do danas, mesto je prošlo kroz mnoge promene.

ARHITEKTURA I UMETNOST:
Manastir Gaj Kovin sadrži četiri građevine. Svaka ima svoju priču. Arhitektura ove lokacije pokazuje skromnost monaške tradicije. Crkva je srce kompleksa. Njen početak je u vreme turskih upada.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Gaj aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";44.7702607;21.0889496;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-gaj/;Istorija manastira u Gaju seže daleko u prošlost. Selo Gaj prvi put se pominje 1355. Tada je bilo deo Krašovske županije. Od tada do danas, mesto je prošlo kroz mnoge promene.;images/monasteries/gaj.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Gaj nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kovin na području Vojvodina.;Manastir Gaj Kovin sadrži četiri građevine. Svaka ima svoju priču. Arhitektura ove lokacije pokazuje skromnost monaške tradicije. Crkva je srce kompleksa. Njen početak je u vreme turskih upada.;;;;;;https://manastiri.rs/eparhije/banatska/manastir-gaj/;44.7702607;21.0889496;;;Manastir Gaj nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kovin na području Vojvodina.;Episkop vršački i narod gajski;1735;;odobren;;;
3;Manastir Hajdučica;hajducica;Vojvodina;Plandište;"OPŠTI PODACI:
Manastir Hajdučica nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Plandište na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1939. godine, čiji je ktitor i zadužbinar Olga S. Jovanović (rođ. Dunđerski), koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Istorija manastira Hajdučica je neodvojiva od istorije samog sela i čuvene porodice Dunđerski. Za razliku od mnogih srpskih svetinja koje datiraju iz srednjeg veka, ovaj manastir je nastao u prvoj polovini 20. Veka ali na mestu sa dugom i burnom prošlošću. Nažalost, nakon perioda socijalizma, crkva i manastirski kompleks su pali u zapuštenost. Decenijama je ovoj lepoj zadužbini pretilo propadanje.

ARHITEKTURA I UMETNOST:
U srcu manastirskog kompleksa stoji crkva posvećena Svetim arhanđelima. Manastir Hajdučica čuva svoj duhovni identitet zahvaljujući ovoj crkvi. Godine okuplja vernike iz ovog kraja. Sveti arhanđeli Mihailo i Gavrilo su zaštitnici ovog manastira.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Hajdučica aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";45.2538548;20.9661305;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-hajducica/;Istorija manastira Hajdučica je neodvojiva od istorije samog sela i čuvene porodice Dunđerski. Za razliku od mnogih srpskih svetinja koje datiraju iz srednjeg veka, ovaj manastir je nastao u prvoj polovini 20. Veka ali na mestu sa dugom i burnom prošlošću. Nažalost, nakon perioda socijalizma, crkva i manastirski kompleks su pali u zapuštenost. Decenijama je ovoj lepoj zadužbini pretilo propadanje.;images/monasteries/hajducica.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Hajdučica nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Plandište na području Vojvodina.;U srcu manastirskog kompleksa stoji crkva posvećena Svetim arhanđelima. Manastir Hajdučica čuva svoj duhovni identitet zahvaljujući ovoj crkvi. Godine okuplja vernike iz ovog kraja. Sveti arhanđeli Mihailo i Gavrilo su zaštitnici ovog manastira.;;;;;;https://manastiri.rs/eparhije/banatska/manastir-hajducica/;45.2538548;20.9661305;;;Manastir Hajdučica nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Plandište na području Vojvodina.;Olga S. Jovanović (rođ. Dunđerski);1939;;odobren;;;
4;Manastir Mesić;mesic;Vojvodina;Vršac;"OPŠTI PODACI:
Manastir Mesić nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1225. godine, čiji je ktitor i zadužbinar Sveti Arsenije Sremac / Despot Jovan Branković, koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Istorija manastira Mesić seže u srednji vek. Ovaj sveti hram prošao je kroz mnoge faze. Od osnivanja, preko obnova, do teških razaranja. Svaka epoha ostavila je duboki trag na duhovno i kulturno nasleđe ovog mesta. Drugo predanje kaže da je sveštenomonah Arsenije Bogdanović-Sremac obnovio manastir 1225.

ARHITEKTURA I UMETNOST:
Manastir Mesić skriva umetničku bogatstvo stvoreno preko pet vekova. Freske u manastiru pričaju o duhovnom i kulturnom razvoju. Svaki period je ostavio svoj pečat na zidovima crkve Svetog Jovana Krstitelja. Stvarajući jedinstvenu umetničku celinu. Ovde, freske i ikone pričaju o duhovnoj prošlosti srpskog naroda.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Mesić aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";45.1040796;21.3920327;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-mesic/;Istorija manastira Mesić seže u srednji vek. Ovaj sveti hram prošao je kroz mnoge faze. Od osnivanja, preko obnova, do teških razaranja. Svaka epoha ostavila je duboki trag na duhovno i kulturno nasleđe ovog mesta. Drugo predanje kaže da je sveštenomonah Arsenije Bogdanović-Sremac obnovio manastir 1225.;images/monasteries/mesic.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Mesić nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina.;Manastir Mesić skriva umetničku bogatstvo stvoreno preko pet vekova. Freske u manastiru pričaju o duhovnom i kulturnom razvoju. Svaki period je ostavio svoj pečat na zidovima crkve Svetog Jovana Krstitelja. Stvarajući jedinstvenu umetničku celinu. Ovde, freske i ikone pričaju o duhovnoj prošlosti srpskog naroda.;;;;;;https://manastiri.rs/eparhije/banatska/manastir-mesic/;45.1040796;21.3920327;;;Manastir Mesić nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina.;Sveti Arsenije Sremac / Despot Jovan Branković;1225;;odobren;;;
5;Manastir Središte;srediste;Vojvodina;Vršac;"OPŠTI PODACI:
Manastir Središte nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 15. vek (obnovljen 1995). godine, čiji je ktitor i zadužbinar Despot Jovan Branković, koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Donela je teške posledice za srpske manastire. Carica Marija Terezija je izdala Reskriptum o ukidanju pravoslavnih manastira. Manastir središte prestao je da postoji kao monaška zajednica. Međutim, njegovo sećanje je ostalo u narodu i crkvenim zapisima.

ARHITEKTURA I UMETNOST:
Od manastira vodi put k Guduričkom vrhu, najvišem vrhu Vojvodine. Ovde počinju planinarske staze. Šuma, lekoviti izvori i svež vazduh čine ovaj kraj idealnim za odmor. Ovo okruženje daje energiju manastiru. Manastir bogorodice trojeručice je jedinstveno mesto u jugoistočnom Banatu.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Središte aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";45.1441135;21.3977019;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-srediste/;Donela je teške posledice za srpske manastire. Carica Marija Terezija je izdala Reskriptum o ukidanju pravoslavnih manastira. Manastir središte prestao je da postoji kao monaška zajednica. Međutim, njegovo sećanje je ostalo u narodu i crkvenim zapisima.;images/monasteries/srediste.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Središte nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina.;Od manastira vodi put k Guduričkom vrhu, najvišem vrhu Vojvodine. Ovde počinju planinarske staze. Šuma, lekoviti izvori i svež vazduh čine ovaj kraj idealnim za odmor. Ovo okruženje daje energiju manastiru. Manastir bogorodice trojeručice je jedinstveno mesto u jugoistočnom Banatu.;;;;;;https://manastiri.rs/eparhije/banatska/manastir-srediste/;45.1441135;21.3977019;;;Manastir Središte nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina.;Despot Jovan Branković;15. vek (obnovljen 1995);;odobren;;;
6;Manastir Sveta Trojica Kikinda;sveta-trojica-kikinda;Vojvodina;Kikinda;"OPŠTI PODACI:
Manastir Sveta Trojica Kikinda nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kikinda na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1885. godine, čiji je ktitor i zadužbinar Melanija Nikolić (rođ. Gačić), koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Istorija manastira Sveta Trojica Kikinda neraskidivo je vezana za duhovni život i nasleđe Eparhije Srpske pravoslavne crkve u blizini mesta Kikinda. Sagrađen kao utočište molitve iz 1885. Godine, čiji je ktitor Melanija Nikolić (rođ. Gačić), hram je kroz vekove bio svedok istorijskih događaja, stradanja i mnogobrojnih obnova, čuvajući pravoslavni identitet i veru ovog kraja.

ARHITEKTURA I UMETNOST:
Arhitektonski kompleks manastira Sveta Trojica Kikinda građen je u duhu tradicionalnog srpskog pravoslavnog sakralnog neimarstva. Crkvu odlikuju skladne proporcije, lepo uređen naos i oltarski prostor, uz manastirske konake i prostranu portu koji pružaju mir monaškom životu i hodočasnicima.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Sveta Trojica Kikinda aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";45.8188033;20.4674669;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-sveta-trojica-kikinda/;Istorija manastira Sveta Trojica Kikinda neraskidivo je vezana za duhovni život i nasleđe Eparhije Srpske pravoslavne crkve u blizini mesta Kikinda. Sagrađen kao utočište molitve iz 1885. Godine, čiji je ktitor Melanija Nikolić (rođ. Gačić), hram je kroz vekove bio svedok istorijskih događaja, stradanja i mnogobrojnih obnova, čuvajući pravoslavni identitet i veru ovog kraja.;images/monasteries/sveta-trojica-kikinda.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Sveta Trojica Kikinda nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kikinda na području Vojvodina.;Arhitektonski kompleks manastira Sveta Trojica Kikinda građen je u duhu tradicionalnog srpskog pravoslavnog sakralnog neimarstva. Crkvu odlikuju skladne proporcije, lepo uređen naos i oltarski prostor, uz manastirske konake i prostranu portu koji pružaju mir monaškom životu i hodočasnicima.;;;;;;https://manastiri.rs;45.8188033;20.4674669;;;Manastir Sveta Trojica Kikinda nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Kikinda na području Vojvodina.;Melanija Nikolić (rođ. Gačić);1885;;odobren;;;
7;Manastir Svete Melanije;svete-melanije;Vojvodina;Zrenjanin;"OPŠTI PODACI:
Manastir Svete Melanije nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Zrenjanin na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1935. godine, čiji je ktitor i zadužbinar Episkop Georgije Letić, koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Osnivanje manastira u srpskom Banatu je veliki događaj. Manastir sveta melanija zrenjanin je nastao iz duboke pobožnosti. Želja je bila da se u gornjem Banatu obnovi monašenje. Na mestu nekadašnjeg starog manastira Drenovca sada je nova svetinja. Manastirska riznica čuva relikvije i umetnička dela.

ARHITEKTURA I UMETNOST:
Unutrašnjost manastira svete melanije u Zrenjaninu skriva umetničko bogatstvo. Celokupan enterijer oslikao je talentovani umetnik. Svaki detalj pokazuje duboku posvećenost veri i lepoti. Akademski slikar Svetislav Vuković radio je na ikonostasu 1936.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Svete Melanije aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";45.393949;20.4130131;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-svete-melanije/;Osnivanje manastira u srpskom Banatu je veliki događaj. Manastir sveta melanija zrenjanin je nastao iz duboke pobožnosti. Želja je bila da se u gornjem Banatu obnovi monašenje. Na mestu nekadašnjeg starog manastira Drenovca sada je nova svetinja. Manastirska riznica čuva relikvije i umetnička dela.;images/monasteries/svete-melanije.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Svete Melanije nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Zrenjanin na području Vojvodina.;Unutrašnjost manastira svete melanije u Zrenjaninu skriva umetničko bogatstvo. Celokupan enterijer oslikao je talentovani umetnik. Svaki detalj pokazuje duboku posvećenost veri i lepoti. Akademski slikar Svetislav Vuković radio je na ikonostasu 1936.;;;;;;https://manastiri.rs/eparhije/banatska/manastir-svete-melanije/;45.393949;20.4130131;;;Manastir Svete Melanije nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Zrenjanin na području Vojvodina.;Episkop Georgije Letić;1935;;odobren;;;
8;Manastir Vlajkovac;vlajkovac;Vojvodina;Vršac;"OPŠTI PODACI:
Manastir Vlajkovac nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1872. godine, čiji je ktitor i zadužbinar Vlastelinska porodica Bisingen-Nipenburg, koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Istorija manastira Vlajkovac počela je u drugoj polovini 19. Tada je srpska zajednica u Banatu počela graditi svoje duhovne temelje. Ovaj manastir je jedan od najvažnijih simbola tog vremena. Od početka kao parohijski hram, Vlajkovac je postao veliki manastir.

ARHITEKTURA I UMETNOST:
Hram posvećen Svetom Velikomučeniku Dimitriju je jedan od najvažnijih u Banatu. Godine, predstavlja srpsku crkvenu arhitekturu iz druge polovice 19. Arhitektura kombinuje klasicizam i elemente vojvođanskog baroka.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Vlajkovac aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";45.0713233;21.1996722;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-vlajkovac/;Istorija manastira Vlajkovac počela je u drugoj polovini 19. Tada je srpska zajednica u Banatu počela graditi svoje duhovne temelje. Ovaj manastir je jedan od najvažnijih simbola tog vremena. Od početka kao parohijski hram, Vlajkovac je postao veliki manastir.;images/monasteries/vlajkovac_full.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Vlajkovac nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina.;Hram posvećen Svetom Velikomučeniku Dimitriju je jedan od najvažnijih u Banatu. Godine, predstavlja srpsku crkvenu arhitekturu iz druge polovice 19. Arhitektura kombinuje klasicizam i elemente vojvođanskog baroka.;;;;;;https://manastiri.rs/eparhije/banatska/manastir-vlajkovac/;45.0713233;21.1996722;;;Manastir Vlajkovac nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Vršac na području Vojvodina.;Vlastelinska porodica Bisingen-Nipenburg;1872;;odobren;;;
9;Manastir Vojlovica;vojlovica;Vojvodina;Pančevo;"OPŠTI PODACI:
Manastir Vojlovica nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Pančevo na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1383. godine, čiji je ktitor i zadužbinar Despot Stefan Lazarević, koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Manastir Vojlovica Pančevo je jedan od najstarijih u južnom Banatu. Prošao je kroz požare, razaranja i obnove. Ipak, sačuvao je svoju duhovnu misiju i postao simbol vere. Prema legendama, manastir je izgrađen 1393.

ARHITEKTURA I UMETNOST:
Vojlovica je severoistočno od Pančeva, oko 5,5 kilometara od Starčeva. Od ušća reke Tamiš u Dunav je samo 4 kilometra. To ga čini lako dostupnim za sve. Manastir je okružen industrijskim krugom Rafinerije nafte Pančevo. Međutim, zadržao je mir i duhovnost.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Vojlovica aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";44.8279552;20.6843394;;;;;;;;https://manastiri.rs/eparhije/banatska/manastir-vojlovica/;Manastir Vojlovica Pančevo je jedan od najstarijih u južnom Banatu. Prošao je kroz požare, razaranja i obnove. Ipak, sačuvao je svoju duhovnu misiju i postao simbol vere. Prema legendama, manastir je izgrađen 1393.;images/monasteries/vojlovica_full.jpg;manastiri.rs;;;;;;pending;0;6;;2026-08-16 20:09:59;;;Manastir Vojlovica nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Pančevo na području Vojvodina.;Vojlovica je severoistočno od Pančeva, oko 5,5 kilometara od Starčeva. Od ušća reke Tamiš u Dunav je samo 4 kilometra. To ga čini lako dostupnim za sve. Manastir je okružen industrijskim krugom Rafinerije nafte Pančevo. Međutim, zadržao je mir i duhovnost.;;;;;;https://manastiri.rs/eparhije/banatska/manastir-vojlovica/;44.8279552;20.6843394;;;Manastir Vojlovica nalazi se u duhovnom okrilju Eparhije banatske u blizini mesta Pančevo na području Vojvodina.;Despot Stefan Lazarević;1383;;odobren;;;
10;Manastir Bođani;bodjani;Vojvodina;Bač;"OPŠTI PODACI:
Manastir Bođani nalazi se u duhovnom okrilju Eparhije bačke u blizini mesta Bač na području Vojvodina. Predstavlja značajnu i poštovanu pravoslavnu svetinju iz 1478. godine, čiji je ktitor i zadužbinar Trgovac Bogdan iz Dalmacije, koja vekovima svedoči o postojanosti vere, pismenosti i duhovnog identiteta srpskog naroda.

ISTORIJA:
Istorija bodjani seže duboko u prošlost, u drugu polovinu 15. Narodna legenda i istorijske činjenice spajaju se u priču o nastanku ovog svetog mesta. Osnivanje Bođani manastira vezuje se za čudesni događaj koji je promenio život jednog trgovca. Malo koji srpski manastir je preživeo toliko razaranja kao Bodjani.

ARHITEKTURA I UMETNOST:
Unutrašnjost crkve u Bođanima skriva jedno od najvažnijih umetničkih dostignuća srpskog naroda. Godine 1737, hristifor žefarović, poznati slikar, grafičar i ikonopisac, oslikao je unutrašnjost hrama. Njegovo delo označilo je prekretnicu u srpskoj umetnosti i ostavilo trajan utisak na bodjani manastir. Hristifor žefarović je koristio novu tehniku, slikao je uljanim bojama po osušenom zidu. Prethodni umetnici su koristili vlažni malter.

DUHOVNI ŽIVOT I ZNAČAJ:
Danas je Manastir Bođani aktivno duhovno i molitveno središte, sabirno mesto vernog naroda i hodočasnika koji dolaze na manastirsku slavu i bogosluženja, nalazeći u njemu mir, liturgijsko sabranje i duhovno ohrabrenje.";45.3960789;19.1021977;;;;;;;;;Istorija bodjani seže duboko u prošlost, u drugu polovinu 15. Narodna legenda i istorijske činjenice spajaju se u priču o nastanku ovog svetog mesta. Osnivanje Bođani manastira vezuje se za čudesni događaj koji je promenio život jednog trgovca. Malo koji srpski manastir je preživeo toliko razaranja kao Bodjani.;images/monasteries/bodjani_gal_1.jpg;manastiri.rs;;;;;;pending;0;7;;2026-08-16 20:09:59;;;Manastir Bođani nalazi se u duhovnom okrilju Eparhije bačke u blizini mesta Bač na području Vojvodina.;Unutrašnjost crkve u Bođanima skriva jedno od najvažnijih umetničkih dostignuća srpskog naroda. Godine 1737, hristifor žefarović, poznati slikar, grafičar i ikonopisac, oslikao je unutrašnjost hrama. Njegovo delo označilo je prekretnicu u srpskoj umetnosti i ostavilo trajan utisak na bodjani manastir. Hristifor žefarović je koristio novu tehniku, slikao je uljanim bojama po osušenom zidu. Prethodni umetnici su koristili vlažni malter.;;;;;;https://manastiri.rs/eparhije/backa/manastir-bodjani/;45.3960789;19.1021977;;;Manastir Bođani nalazi se u duhovnom okrilju Eparhije bačke u blizini mesta Bač na području Vojvodina.;Trgovac Bogdan iz Dalmacije;1478;;aktivan;;;
