slug,intro,history,architecture,ktitor_text,art_frescoes,interesting_facts,sources_json
studenica,Manastir Studenica je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Studenica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Studenica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Studenica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Studenica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Studenica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
zica,Manastir Žiča je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Žiča obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Žiča prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Žiča čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Žiča obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Žiča predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
mileseva,Manastir Mileševa je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugozapadna Srbija.,"Istorijat Manastir Mileševa obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Mileševa prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Mileševa čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Mileševa obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Mileševa predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sopocani,Manastir Sopoćani je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Sopoćani obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sopoćani prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sopoćani čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sopoćani obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sopoćani predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
djurdjevi-stupovi,Manastir Đurđevi Stupovi je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Đurđevi Stupovi obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Đurđevi Stupovi prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Đurđevi Stupovi čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Đurđevi Stupovi obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Đurđevi Stupovi predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
manasija,Manastir Manasija je značajna pravoslavna svetinja i duhovno mesto u oblasti Pomoravlje.,"Istorijat Manastir Manasija obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Manasija prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Manasija čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Manasija obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Manasija predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
ravanica,Manastir Ravanica je značajna pravoslavna svetinja i duhovno mesto u oblasti Pomoravlje.,"Istorijat Manastir Ravanica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Ravanica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Ravanica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Ravanica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Ravanica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
ljubostinja,Manastir Ljubostinja je značajna pravoslavna svetinja i duhovno mesto u oblasti Rasina.,"Istorijat Manastir Ljubostinja obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Ljubostinja prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Ljubostinja čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Ljubostinja obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Ljubostinja predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
kalenic,Manastir Kalenić je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija i Pomoravlje.,"Istorijat Manastir Kalenić obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Kalenić prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Kalenić čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Kalenić obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Kalenić predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
naupara,Manastir Naupara je značajna pravoslavna svetinja i duhovno mesto u oblasti Rasina.,"Istorijat Manastir Naupara obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Naupara prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Naupara čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Naupara obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Naupara predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
tumane,Manastir Tumane je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Tumane obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Tumane prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Tumane čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Tumane obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Tumane predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
gornjak,Manastir Gornjak je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Gornjak obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Gornjak prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Gornjak čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Gornjak obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Gornjak predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
vracevsnica,Manastir Vraćevšnica je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija.,"Istorijat Manastir Vraćevšnica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Vraćevšnica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Vraćevšnica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Vraćevšnica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Vraćevšnica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
blagovestenje-ovcar-kablar,Manastir Blagoveštenje (Ovčar-Kablar) je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Blagoveštenje (Ovčar-Kablar) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Blagoveštenje (Ovčar-Kablar) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Blagoveštenje (Ovčar-Kablar) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Blagoveštenje (Ovčar-Kablar) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Blagoveštenje (Ovčar-Kablar) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
nikolje-ovcar-kablar,Manastir Nikolje (Ovčar-Kablar) je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Nikolje (Ovčar-Kablar) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Nikolje (Ovčar-Kablar) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Nikolje (Ovčar-Kablar) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Nikolje (Ovčar-Kablar) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Nikolje (Ovčar-Kablar) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
jovanje-ovcar-kablar,Manastir Jovanje (Ovčar-Kablar) je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Jovanje (Ovčar-Kablar) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Jovanje (Ovčar-Kablar) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Jovanje (Ovčar-Kablar) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Jovanje (Ovčar-Kablar) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Jovanje (Ovčar-Kablar) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
preobrazenje-ovcar-kablar,Manastir Preobraženje (Ovčar-Kablar) je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Preobraženje (Ovčar-Kablar) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Preobraženje (Ovčar-Kablar) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Preobraženje (Ovčar-Kablar) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Preobraženje (Ovčar-Kablar) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Preobraženje (Ovčar-Kablar) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sretenje-ovcar-kablar,Manastir Sretenje (Ovčar-Kablar) je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Sretenje (Ovčar-Kablar) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sretenje (Ovčar-Kablar) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sretenje (Ovčar-Kablar) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sretenje (Ovčar-Kablar) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sretenje (Ovčar-Kablar) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
vaznesenje-ovcar-kablar,Manastir Vaznesenje (Ovčar-Kablar) je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Vaznesenje (Ovčar-Kablar) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Vaznesenje (Ovčar-Kablar) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Vaznesenje (Ovčar-Kablar) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Vaznesenje (Ovčar-Kablar) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Vaznesenje (Ovčar-Kablar) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
uspenje-ovcar-kablar,Manastir Uspenje (Ovčar-Kablar) je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Uspenje (Ovčar-Kablar) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Uspenje (Ovčar-Kablar) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Uspenje (Ovčar-Kablar) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Uspenje (Ovčar-Kablar) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Uspenje (Ovčar-Kablar) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
kovilj,Manastir Kovilj je značajna pravoslavna svetinja i duhovno mesto u oblasti Vojvodina.,"Istorijat Manastir Kovilj obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Kovilj prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Kovilj čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Kovilj obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Kovilj predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
bodjani,Manastir Bođani je značajna pravoslavna svetinja i duhovno mesto u oblasti Vojvodina.,"Istorijat Manastir Bođani obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Bođani prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Bođani čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Bođani obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Bođani predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
krusedol,Manastir Krušedol je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Krušedol obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Krušedol prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Krušedol čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Krušedol obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Krušedol predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
grgeteg,Manastir Grgeteg je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Grgeteg obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Grgeteg prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Grgeteg čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Grgeteg obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Grgeteg predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
