slug;name;region;city;description_short;lat;lng;status;eparchy;description;image_url;wikipedia_url;source
bavaniste;Manastir Bavanište;Vojvodina;Nepoznato;Manastir Bavanište je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Bavanište nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Bavanište je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Bavanište dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Bavanište ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Bavanište je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-bavaniste/;manastiri.rs
gaj;Manastir Gaj;Vojvodina;Nepoznato;Manastir Gaj je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Gaj nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Gaj je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Gaj dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Gaj ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Gaj je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-gaj/;manastiri.rs
hajducica;Manastir Hajdučica;Vojvodina;Nepoznato;Manastir Hajdučica je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Hajdučica nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Hajdučica je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Hajdučica dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Hajdučica ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Hajdučica je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-hajducica/;manastiri.rs
mesic;Manastir Mesić;Vojvodina;Nepoznato;Manastir Mesić je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Mesić nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Mesić je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Mesić dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Mesić ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Mesić je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-mesic/;manastiri.rs
srediste;Manastir Središte;Vojvodina;Nepoznato;Manastir Središte je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Središte nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Središte je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Središte dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Središte ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Središte je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-srediste/;manastiri.rs
sveta-trojica-kikinda;Manastir Sveta Trojica Kikinda;Vojvodina;Nepoznato;Manastir Sveta Trojica Kikinda je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Sveta Trojica Kikinda nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Sveta Trojica Kikinda je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Sveta Trojica Kikinda dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Sveta Trojica Kikinda ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Sveta Trojica Kikinda je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-sveta-trojica-kikinda/;manastiri.rs
svete-melanije;Manastir Svete Melanije;Vojvodina;Nepoznato;Manastir Svete Melanije je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Svete Melanije nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Svete Melanije je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Svete Melanije dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Svete Melanije ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Svete Melanije je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-svete-melanije/;manastiri.rs
vlajkovac;Manastir Vlajkovac;Vojvodina;Nepoznato;Manastir Vlajkovac je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Vlajkovac nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Vlajkovac je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Vlajkovac dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Vlajkovac ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Vlajkovac je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-vlajkovac/;manastiri.rs
vojlovica;Manastir Vojlovica;Vojvodina;Nepoznato;Manastir Vojlovica je pravoslavna svetinja u okviru Eparhije Banatska.;;;odobren;Eparhija banatska;OPŠTI PODACI: Manastir Vojlovica nalazi se u okviru Eparhija banatska i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Vojvodina. Manastir Vojlovica je pravoslavna svetinja u okviru Eparhije Banatska. Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Vojlovica dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Vojlovica ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Vojlovica je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;https://manastiri.rs/eparhije/banatska/manastir-vojlovica/;manastiri.rs
bodjani;Manastir Bođani;Vojvodina;Bač;Manastir Bođani (posvećen Vavedenju Presvete Bogorodice) nalazi se u bačkoj ravnici, u blizini sela Bođani i varošice Bač, na prostoru gde se vekovima ukrštaju dunavski putevi,…;;;aktivan;Eparhija bačka;OPŠTI PODACI: Manastir Bođani nalazi se u okviru Eparhija bačka i pripada korpusu značajnih pravoslavnih svetinja na prostoru Srbije. U evidenciji ovog projekta vezuje se za mesto ili šire područje Bač. Manastir Bođani (posvećen Vavedenju Presvete Bogorodice) nalazi se u bačkoj ravnici, u blizini sela Bođani i varošice Bač, na prostoru gde se vekovima ukrštaju dunavski putevi,… Manastirski kompleks se po pravilu sastoji od crkve, porte i pratećih objekata namenjenih bogosluženju i svakodnevnom monaškom životu. ISTORIJA: Tačna godina osnivanja, kao i ime prvobitnog ktitora, za ovaj zapis zahtevaju dodatnu proveru u pouzdanim crkvenim i istoriografskim izvorima. Ipak, za manastire ovog tipa uobičajeno je da su kroz vekove prolazili kroz periode gradnje, obnavljanja, a ponegde i razaranja usled ratova, seoba i političkih previranja. Zato je važno da se u daljoj obradi za Manastir Bođani dopune podaci o vremenu nastanka, eventualnim obnovama i ličnostima koje su učestvovale u njegovom podizanju ili obnovi. U aplikaciji ova sekcija može služiti kao mesto za unošenje konkretnih godina izgradnje, obnavljanja i restauracije čim budu potvrđene. ARHITEKTURA: Arhitektonska vrednost manastira ogleda se u spoju crkvene gradnje, uređenja enterijera i prilagođenosti prostora bogoslužbenoj funkciji. Poseban značaj obično imaju oltarski prostor, ikonostas, eventualni živopis, kao i sklad između hrama i prirodnog okruženja. Ako su sačuvani podaci o starijim fazama gradnje, ovde se kasnije mogu navesti stilske odlike, tip osnove hrama i najvažnije umetničke karakteristike. DUHOVNI ŽIVOT: Manastir Bođani ima značaj kao mesto molitve, liturgijskog sabranja i očuvanja pravoslavne tradicije. Na velike praznike i manastirsku slavu ovakve svetinje okupljaju vernike, hodočasnike i posetioce koji dolaze radi molitve, mira i upoznavanja sa duhovnim nasleđem. Monaški ili parohijski život, u zavisnosti od statusa svetinje, doprinosi kontinuitetu bogosluženja i prenošenju predanja na mlađe naraštaje. ZNAČAJ: Manastir Bođani je važan deo crkvene, kulturne i istorijske mape Srbije. Njegov značaj nije samo verski, već i identitetski, jer svedoči o trajanju narodne pobožnosti, umetnosti i lokalnog pamćenja. Za potpuniji prikaz preporučuje se da se ovom zapisu naknadno dodaju provereni podaci o ktitoru, tačnoj godini nastanka, obnovama, poznatim svetinjama, freskama i drugim posebnostima vezanim baš za ovaj manastir.;;;https://manastiri.rs/eparhije/backa/manastir-bodjani/
